,close_price,days_holding,dt_close,dt_open,flag_open,id_instrument,long_short,margin_capital,multiplier,open_price,premium,realized_pnl,unit
0,0.0124,29.0,2016-01-20,2015-12-22,0.0,50etf_1603_c_2.6,1.0,0.0,10000.0,0.0952,37128.0,-32300.392799999998,39.0
1,0.0079,29.0,2016-01-20,2015-12-22,0.0,50etf_1603_c_2.75,1.0,0.0,10000.0,0.0553,37051.0,-31766.4688,67.0
2,0.0218,29.0,2016-01-20,2015-12-22,0.0,50etf_1603_c_2.45,1.0,0.0,10000.0,0.1522,36528.0,-31304.352,24.0
3,0.014,29.0,2016-01-20,2015-12-22,0.0,50etf_1603_c_2.55,1.0,0.0,10000.0,0.1112,36696.0,-32084.263199999998,33.0
4,0.0102,29.0,2016-01-20,2015-12-22,0.0,50etf_1603_c_2.65,1.0,0.0,10000.0,0.079,37130.0,-32344.3848,47.0
5,0.0005,29.0,2016-01-20,2015-12-22,0.0,50etf_1601_c_2.45,-1.0,61418.00000000001,10000.0,0.0901,36941.0,36728.5708,41.0
6,0.0007,29.0,2016-01-20,2015-12-22,0.0,50etf_1601_c_2.4,-1.0,46717.0,10000.0,0.1189,36859.0,36634.5848,31.0
7,0.0003,29.0,2016-01-20,2015-12-22,0.0,50etf_1601_c_2.55,-1.0,110704.0,10000.0,0.0502,37148.0,36918.526,74.0
8,0.0004,29.0,2016-01-20,2015-12-22,0.0,50etf_1601_c_2.5,-1.0,82335.0,10000.0,0.0674,37070.0,36842.542,55.0
9,0.0003,29.0,2016-01-20,2015-12-22,0.0,50etf_1601_c_2.6,-1.0,158470.00000000003,10000.0,0.0352,37312.0,36986.474,106.0
10,0.0008,35.0,2016-02-24,2016-01-20,0.0,50etf_1603_c_2.65,-1.0,459494.0,10000.0,0.0102,32844.0,30260.915999999997,322.0
11,0.0036,35.0,2016-02-24,2016-01-20,0.0,50etf_1603_c_2.35,1.0,0.0,10000.0,0.0343,32584.999999999996,-29172.200999999997,95.0
12,0.0004,35.0,2016-02-24,2016-01-20,0.0,50etf_1603_c_2.8,1.0,0.0,10000.0,0.0068,32912.0,-30982.9696,484.0
13,0.0079,35.0,2016-02-24,2016-01-20,0.0,50etf_1606_c_2.65,1.0,0.0,10000.0,0.0368,32752.0,-25728.9566,89.0
14,0.136,35.0,2016-02-24,2016-01-20,0.0,50etf_1606_c_1.95,1.0,0.0,10000.0,0.1957,31312.000000000004,-9562.614400000004,16.0
15,0.0774,35.0,2016-02-24,2016-01-20,0.0,50etf_1606_c_2.1,1.0,0.0,10000.0,0.14,32200.000000000004,-14408.000400000004,23.0
